BEA Detail,Year,Country,Import Quantity,Unit,Source,BEA Summary,CountryCode,Region,cntry_cntrb_to_national_detail,cntry_cntrb_to_region_detail,cntry_cntrb_to_national_summary,cntry_cntrb_to_region_summary
322110,2019,Saudi Arabia,0.0,USD,Census,322,WM,ROW,0.0,0.0,0.0,0.0
322120,2019,Saudi Arabia,0.0,USD,Census,322,WM,ROW,0.0,0.0,0.0,0.0
322130,2019,Saudi Arabia,0.0,USD,Census,322,WM,ROW,0.0,0.0,0.0,0.0
322210,2019,Saudi Arabia,159624.0,USD,Census,322,WM,ROW,7.290068187416036e-05,0.005825676208767412,7.1323688900009895e-06,7.815025735600325e-05
322220,2019,Saudi Arabia,603175.0,USD,Census,322,WM,ROW,0.00015577766023187794,0.006375097111433907,2.6951251724216578e-05,0.00029530823360338835
322230,2019,Saudi Arabia,0.0,USD,Census,322,WM,ROW,0.0,0.0,0.0,0.0
322291,2019,Saudi Arabia,0.0,USD,Census,322,WM,ROW,0.0,0.0,0.0,0.0
322299,2019,Saudi Arabia,133384.0,USD,Census,322,WM,ROW,8.751521994482623e-05,0.007183957107385466,5.9599051021393526e-06,6.530342509380255e-05
323110,2019,Saudi Arabia,748924.0,USD,Census,323,WM,ROW,0.00012179392743128368,0.007800220842599119,0.00012117467638392917,0.0077063281898679635
323120,2019,Saudi Arabia,0.0,USD,Census,323,WM,ROW,0.0,0.0,0.0,0.0
324110,2019,Saudi Arabia,887918825.0,USD,Census,324,WM,ROW,0.013613902674720192,0.07605178937567644,0.01352339300064486,0.07599720801780654
324121,2019,Saudi Arabia,0.0,USD,Census,324,WM,ROW,0.0,0.0,0.0,0.0
324122,2019,Saudi Arabia,558696.0,USD,Census,324,WM,ROW,0.0020599552820953636,0.09132083033736645,8.509185032638858e-06,4.781893900122733e-05
324190,2019,Saudi Arabia,0.0,USD,Census,324,WM,ROW,0.0,0.0,0.0,0.0
325110,2019,Saudi Arabia,14735708.0,USD,Census,325,WM,ROW,0.011142571561704853,0.15859490225674386,5.540721482751973e-05,0.0012784180100657355
